factor,ic_mean,ic_std,ir,ic_win_rate,monthly_count,effectiveness
MOM,0.009624701845298525,0.18297366197004766,0.05260156976512863,0.6521739130434783,23,无效
VOL,0.047874016353400224,0.16936256635875752,0.2826717696990349,0.4,25,弱有效(方向相反)
RSI,0.023528985414434603,0.1257523844309292,0.18710568011024986,0.32,25,弱有效(方向相反)
NHNL,0.02906432103503393,0.1361097263489787,0.21353595966032898,0.64,25,弱有效
ADR,0.005040895299784285,0.12852489603281197,0.03922115835438888,0.6,25,无效
TURN,-0.03754228516433249,0.1246546033269363,-0.30117046753475224,0.36,25,方向相反(需检查)
DIV,-0.032651405509142306,0.31938858753092403,-0.10223097124903034,0.6,25,弱有效
